Calls to operations that could not be found:
clinic.f.xml:clinic --> adv_vbu
clinic.f.xml:clinic --> adv_veu
clinic.f.xml:clinic --> adv_vnu
clinic.f.xml:clinic --> advmet
clinic.f.xml:clinic --> am3
clinic.f.xml:clinic --> am4
clinic.f.xml:clinic --> am_csudxtr
clinic.f.xml:clinic --> amc_north
clinic.f.xml:clinic --> amc_south
clinic.f.xml:clinic --> baru
clinic.f.xml:clinic --> bmf
clinic.f.xml:clinic --> cori
clinic.f.xml:clinic --> csudxu2r
clinic.f.xml:clinic --> csudxur
clinic.f.xml:clinic --> csudyu2r
clinic.f.xml:clinic --> csur
clinic.f.xml:clinic --> diff_fb
clinic.f.xml:clinic --> diff_fe
clinic.f.xml:clinic --> dxmetr
clinic.f.xml:clinic --> dxtr
clinic.f.xml:clinic --> dxu2r
clinic.f.xml:clinic --> dxur
clinic.f.xml:clinic --> dyu2r
clinic.f.xml:clinic --> dyu4r
clinic.f.xml:clinic --> dzt
clinic.f.xml:clinic --> dzt2r
clinic.f.xml:clinic --> dztr
clinic.f.xml:clinic --> dzw
clinic.f.xml:clinic --> dzwr
clinic.f.xml:clinic --> grad_p
clinic.f.xml:clinic --> hr
clinic.f.xml:clinic --> kmu
clinic.f.xml:clinic --> rho
clinic.f.xml:clinic --> smf
clinic.f.xml:clinic --> tempik
clinic.f.xml:clinic --> u
clinic.f.xml:clinic --> umask
clinic.f.xml:clinic --> visc_cbu
clinic.f.xml:clinic --> zu
clinic.f.xml:diagc1 --> csu
clinic.f.xml:diagc1 --> dxu
clinic.f.xml:diagc1 --> dyu
clinic.f.xml:diagc1 --> dzt
clinic.f.xml:diagc1 --> ektot
clinic.f.xml:diagc1 --> temp
clinic.f.xml:diagc1 --> u
clinic.f.xml:isbcu --> kmt
clinic.f.xml:isbcu --> sbc
clinic.f.xml:isbcu --> u
co2calc.f.xml:DRTSAFE --> ABS
co2calc.f.xml:DRTSAFE --> FUNCD
co2calc.f.xml:co2calc --> drtsafe
co2calc.f.xml:co2calc --> exp
co2calc.f.xml:co2calc --> log
co2calc.f.xml:co2calc --> log10
co2calc.f.xml:co2calc --> sqrt
congrad.f.xml:absmax --> abs
congrad.f.xml:absmax --> max
congrad.f.xml:absmin --> abs
congrad.f.xml:absvecmax --> abs
congrad.f.xml:avg_dist --> Zresisle
congrad.f.xml:congr --> As
congrad.f.xml:congr --> Zres
congrad.f.xml:congr --> abs
congrad.f.xml:congr --> exp
congrad.f.xml:congr --> log
congrad.f.xml:congr --> min
congrad.f.xml:congr --> s
congrad.f.xml:dot2 --> rowsum
congrad.f.xml:sum_dist --> Zresisle
convect.f.xml:convct --> dztxcl
convect.f.xml:convct --> dzwxcl
convect.f.xml:convct --> max
convect.f.xml:convct --> statec
convect.f.xml:convct --> temp
convect.f.xml:convct2 --> c
convect.f.xml:convct2 --> dztxcl
convect.f.xml:convct2 --> so
convect.f.xml:convct2 --> to
denscoef.f.xml:eqstate --> a
denscoef.f.xml:eqstate --> ab
denscoef.f.xml:eqstate --> dd
denscoef.f.xml:eqstate --> sa
denscoef.f.xml:eqstate --> sigma
denscoef.f.xml:eqstate --> sigman
denscoef.f.xml:eqstate --> smax
denscoef.f.xml:eqstate --> smin
denscoef.f.xml:eqstate --> sp
denscoef.f.xml:eqstate --> ss
denscoef.f.xml:eqstate --> ta
denscoef.f.xml:eqstate --> th
denscoef.f.xml:eqstate --> tmax
denscoef.f.xml:eqstate --> tmin
denscoef.f.xml:eqstate --> tp
denscoef.f.xml:eqstate --> ts
denscoef.f.xml:eqstate --> x
denscoef.f.xml:eqstate --> z
denscoef.f.xml:lsqsl2 --> abs
denscoef.f.xml:lsqsl2 --> dble
denscoef.f.xml:lsqsl2 --> float
denscoef.f.xml:lsqsl2 --> h
denscoef.f.xml:lsqsl2 --> max
denscoef.f.xml:lsqsl2 --> max0
denscoef.f.xml:lsqsl2 --> min0
denscoef.f.xml:lsqsl2 --> sign
denscoef.f.xml:lsqsl2 --> sqrt
diag.f.xml:diag --> adv_vbt
diag.f.xml:diag --> adv_vbtiso
diag.f.xml:diag --> adv_vetiso
diag.f.xml:diag --> adv_vntiso
diag.f.xml:diag --> csu
diag.f.xml:diag --> drodxb
diag.f.xml:diag --> drodxe
diag.f.xml:diag --> drodyb
diag.f.xml:diag --> drodyn
diag.f.xml:diag --> drodzb
diag.f.xml:diag --> drodze
diag.f.xml:diag --> drodzn
diag.f.xml:diag --> dxu
diag.f.xml:diag --> dzt
diag.f.xml:diag --> kmt
diag.f.xml:diag --> kmu
diag.f.xml:diag --> max
diag.f.xml:diag --> min
diag.f.xml:diag --> mskhr
diag.f.xml:diag --> psi
diag.f.xml:diag --> smf
diag.f.xml:diag --> t
diag.f.xml:diag --> tlat
diag.f.xml:diag --> tlon
diag.f.xml:diag --> tmask
diag.f.xml:diag --> trim
diag.f.xml:diag --> u
diag.f.xml:diag --> ulat
diag.f.xml:diag --> ulon
diag.f.xml:diag --> umask
diag.f.xml:diag --> v_otsf
diag.f.xml:diag --> vbarx
diag.f.xml:diag --> vmsf
diagi.f.xml:diagi --> asst
diagi.f.xml:diagi --> avgbk
diagi.f.xml:diagi --> avgw
diagi.f.xml:diagi --> buoy
diagi.f.xml:diagi --> dtabs
diagi.f.xml:diagi --> ektot
diagi.f.xml:diagi --> engext
diagi.f.xml:diagi --> engint
diagi.f.xml:diagi --> itcerr
diagi.f.xml:diagi --> iucerr
diagi.f.xml:diagi --> iwtbot
diagi.f.xml:diagi --> iwubot
diagi.f.xml:diagi --> jtcerr
diagi.f.xml:diagi --> jucerr
diagi.f.xml:diagi --> jwtbot
diagi.f.xml:diagi --> jwubot
diagi.f.xml:diagi --> ktcerr
diagi.f.xml:diagi --> kucerr
diagi.f.xml:diagi --> kwtbot
