file,operation
exch1_bg_r4_cube.f.xml,EXCH1_BG_R4_CUBE
exch1_bg_r8_cube.f.xml,EXCH1_BG_R8_CUBE
exch1_bg_rl_cube.f.xml,EXCH1_BG_RL_CUBE
exch1_bg_rs_cube.f.xml,EXCH1_BG_RS_CUBE
exch1_r4.f.xml,EXCH1_R4
exch1_r4_cube.f.xml,EXCH1_R4_CUBE
exch1_r8.f.xml,EXCH1_R8
exch1_r8_cube.f.xml,EXCH1_R8_CUBE
exch1_rl.f.xml,EXCH1_RL
exch1_rl_ad.f.xml,EXCH1_RL_AD
exch1_rl_cube.f.xml,EXCH1_RL_CUBE
exch1_rl_cube_ad.f.xml,EXCH1_BG_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_Z_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_RL_CUBE_AD
exch1_rl_cube_ad.f.xml,EXCH1_UV_RL_CUBE_AD
exch1_rs.f.xml,EXCH1_RS
exch1_rs_ad.f.xml,EXCH1_RS_AD
exch1_rs_cube.f.xml,EXCH1_RS_CUBE
exch1_rs_cube_ad.f.xml,EXCH1_BG_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_UV_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_RS_CUBE_AD
exch1_rs_cube_ad.f.xml,EXCH1_Z_RS_CUBE_AD
exch1_uv_r4_cube.f.xml,EXCH1_UV_R4_CUBE
exch1_uv_r8_cube.f.xml,EXCH1_UV_R8_CUBE
exch1_uv_rl_cube.f.xml,EXCH1_UV_RL_CUBE
exch1_uv_rs_cube.f.xml,EXCH1_UV_RS_CUBE
exch1_z_r4_cube.f.xml,EXCH1_Z_R4_CUBE
exch1_z_r8_cube.f.xml,EXCH1_Z_R8_CUBE
exch1_z_rl_cube.f.xml,EXCH1_Z_RL_CUBE
exch1_z_rs_cube.f.xml,EXCH1_Z_RS_CUBE
exch_3d_r4.f.xml,EXCH_3D_R4
exch_3d_r8.f.xml,EXCH_3D_R8
exch_3d_rl.f.xml,EXCH_3D_RL
exch_3d_rs.f.xml,EXCH_3D_RS
exch_cycle_ebl.f.xml,EXCH_CYCLE_EBL
exch_init.f.xml,EXCH_INIT
exch_r4_recv_get_x.f.xml,EXCH_R4_RECV_GET_X
exch_r4_recv_get_y.f.xml,EXCH_R4_RECV_GET_Y
exch_r4_send_put_x.f.xml,EXCH_R4_SEND_PUT_X
exch_r4_send_put_y.f.xml,EXCH_R4_SEND_PUT_Y
exch_r8_recv_get_x.f.xml,EXCH_R8_RECV_GET_X
exch_r8_recv_get_y.f.xml,EXCH_R8_RECV_GET_Y
exch_r8_send_put_x.f.xml,EXCH_R8_SEND_PUT_X
exch_r8_send_put_y.f.xml,EXCH_R8_SEND_PUT_Y
exch_rl_recv_get_x.f.xml,EXCH_RL_RECV_GET_X
exch_rl_recv_get_y.f.xml,EXCH_RL_RECV_GET_Y
exch_rl_send_put_x.f.xml,EXCH_RL_SEND_PUT_X
exch_rl_send_put_y.f.xml,EXCH_RL_SEND_PUT_Y
exch_rs_recv_get_x.f.xml,EXCH_RS_RECV_GET_X
exch_rs_recv_get_y.f.xml,EXCH_RS_RECV_GET_Y
exch_rs_send_put_x.f.xml,EXCH_RS_SEND_PUT_X
exch_rs_send_put_y.f.xml,EXCH_RS_SEND_PUT_Y
exch_s3d_r4.f.xml,EXCH_S3D_R4
exch_s3d_r8.f.xml,EXCH_S3D_R8
exch_s3d_rl.f.xml,EXCH_S3D_RL
exch_s3d_rs.f.xml,EXCH_S3D_RS
exch_sm_3d_r4.f.xml,EXCH_SM_3D_R4
exch_sm_3d_r8.f.xml,EXCH_SM_3D_R8
exch_sm_3d_rl.f.xml,EXCH_SM_3D_RL
exch_sm_3d_rs.f.xml,EXCH_SM_3D_RS
