source-path,source-module,source-operation,target-path,target-module,target-operation,direction
./apps/matplotlib/lib/matplotlib/ticker.py,matplotlib.ticker,self._subs,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,np.asarray,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,year_start,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,datetime.datetime,WRITE
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,X,./apps/matplotlib/lib/matplotlib/backend_bases.py,matplotlib.backend_bases,axes3d.get_test_data,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,index,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,i_vtx,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,bb0,./apps/matplotlib/galleries/examples/mplot3d/voxels_torus.py,voxels_torus,bb.frozen,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,index,./apps/matplotlib/galleries/examples/units/radian_demo.py,radian_demo,i_vtx,WRITE
./apps/matplotlib/lib/matplotlib/dates.py,matplotlib.dates,d_int,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,d.astype,WRITE
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,Y,./apps/matplotlib/lib/matplotlib/backend_bases.py,matplotlib.backend_bases,axes3d.get_test_data,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,index,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,segment,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_colors.py,matplotlib.tests.test_colors,norm,./apps/matplotlib/galleries/examples/images_contours_and_fields/image_demo.py,image_demo,mcolors.SymLogNorm,WRITE
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,fig,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplots,WRITE
./apps/matplotlib/lib/matplotlib/contour.py,matplotlib.contour,index,./apps/matplotlib/lib/matplotlib/colorizer.py,matplotlib.colorizer,cc_cumlens.cc_cumlens,WRITE
./apps/matplotlib/lib/matplotlib/tests/test_datetime.py,matplotlib.tests.test_datetime,year_end,./apps/matplotlib/lib/matplotlib/tests/test_text.py,matplotlib.tests.test_text,datetime.datetime,WRITE
./apps/matplotlib/lib/mpl_toolkits/mplot3d/tests/test_axes3d.py,matplotlib.tests.test_axes3d,Z,./apps/matplotlib/lib/matplotlib/backend_bases.py,matplotlib.backend_bases,axes3d.get_test_data,WRITE
./apps/matplotlib/galleries/users_explain/axes/arranging_axes.py,arranging_axes,axs,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,plt.subplots,WRITE
./apps/matplotlib/lib/matplotlib/spines.py,matplotlib.spines,tickl,./apps/matplotlib/galleries/examples/lines_bars_and_markers/spectrum_demo.py,spectrum_demo,tick._size,WRITE
