source-path,source-module,source-operation,target-path,target-module,target-operation,direction
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,root,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,it,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,LevelOrderGroupIter,WRITE
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,data,apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,JsonExporter,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0b,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,root,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,top,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,MyNode,WRITE
apps/anytree/src/anytree/config.py,anytree.config,ASSERTIONS,apps/anytree/tests/test_pickle.py,anytreetests.test_pickle,bool,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,r,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.RenderTree,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1b,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/exporter/mermaidexporter.py,anytree.exporter.mermaidexporter.MermaidExporter,self.node,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter.DictExporter,self.attriter,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,attriter,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,a,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_dictexporter.py,anytreetests.test_dictexporter,exporter,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,DictExporter,WRITE
apps/anytree/tests/test_search.py,anytreetests.test_search,b,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,i,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node_attach_detach.py,anytreetests.test_node_attach_detach,s1,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,TNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0a,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_dotexport.py,anytreetests.test_dotexport,s1,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1ca,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1ca,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/render.py,anytree.render,items,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,continues,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1c,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter,data,apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,JsonExporter,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0a,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,d,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/iterators/abstractiter.py,anytreeiterators.abstractiter,self.__iter,apps/anytree/tests/test_pickle.py,anytreetests.test_pickle,AbstractIter,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,s0a,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter.DictExporter,self.childiter,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,childiter,WRITE
apps/anytree/src/anytree/render.py,anytree.render,indent,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,join,WRITE
apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,g,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,top,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,at.Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.Node,WRITE
apps/anytree/tests/test_dictimporter.py,anytreetests.test_dictimporter,importer,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,DictImporter,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0b,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1ca.parent,apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,WRITE
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter.JsonExporter,self.dictexporter,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,dictexporter,WRITE
apps/anytree/tests/test_dotexporter.py,anytreetests.test_dotexporter,n,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,f,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1ca,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,r,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,at.Resolver,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root.children,apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,WRITE
apps/anytree/conftest.py,conftest,doctest_plugin,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,request.config.pluginmanager.getplugin,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,byident,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.RenderTree.by_attr.splitlines,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/render.py,anytree.render,Row,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,collections.namedtuple,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1b.parent,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0a,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/exporter/jsonexporter.py,anytree.exporter.jsonexporter.JsonExporter,self.maxlevel,apps/anytree/src/anytree/exporter/dotexporter.py,anytree.exporter.dotexporter,maxlevel,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,sub0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,at.Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root.children,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,WRITE
apps/anytree/src/anytree/render.py,anytree.render,branch,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,continues.continues,WRITE
apps/anytree/src/anytree/iterators/abstractiter.py,anytreeiterators.abstractiter.AbstractIter,self.filter_,apps/anytree/tests/test_special_methods_access.py,anytreetests.test_special_methods_access,filter_,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,sub0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,at.Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,s0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.Node,WRITE
apps/anytree/tests/test_dictimporter.py,anytreetests.test_dictimporter,exporter,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,DictExporter,WRITE
apps/anytree/tests/test_node_sep.py,anytreetests.test_node_sep,sub0sub1,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,MyNode,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s0a,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/src/anytree/render.py,anytree.render,branch,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,style.cont,WRITE
apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,AnyNode,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,b,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0.children,apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,s0a,WRITE
apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1ca.parent,apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/iterators/abstractiter.py,anytreeiterators.abstractiter.AbstractIter,self.node,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,node,WRITE
apps/anytree/src/anytree/render.py,anytree.render,branch,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,style.end,WRITE
apps/anytree/tests/test_dotexport.py,anytreetests.test_dotexport,s1c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,e,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/exporter/dictexporter.py,anytree.exporter.dictexporter,attriter,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,DictExporter,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,root.children,apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1b.parent,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,WRITE
apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,f,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_resolver.py,anytreetests.test_resolver,sub0sub0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,at.Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s1ca,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/render.py,anytree.render,pre,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,indent,WRITE
apps/anytree/tests/test_render.py,anytreetests.test_render,s0b,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,anytree.Node,WRITE
apps/anytree/tests/test_dictimporter.py,anytreetests.test_dictimporter,r,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,RenderTree,WRITE
apps/anytree/tests/test_dotexport.py,anytreetests.test_dotexport,s1c,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,root.children,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,WRITE
apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,s1,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,LightNode,WRITE
apps/anytree/tests/test_search.py,anytreetests.test_search,e,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0b,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/src/anytree/render.py,anytree.render,pre,apps/anytree/tests/test_iterators.py,anytreetests.test_iterators,branch,WRITE
apps/anytree/tests/test_cachedsearch.py,anytreetests.test_cachedsearch,d,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node_symlink.py,anytreetests.test_node_symlink,root,apps/anytree/tests/test_lightnode.py,anytreetests.test_lightnode,Node,WRITE
apps/anytree/tests/test_node.py,anytreetests.test_node,s0.children,apps/anytree/tests/test_jsonexporter.py,anytreetests.test_jsonexporter,s0,WRITE
